2024-10-24 21:56:51 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2024-10-24 21:56:51 [main] INFO  c.a.config.AfrocasaConfigApplication - Starting AfrocasaConfigApplication using Java 17.0.6 on MacBook-Pro.attlocal.net with PID 3468 (/Users/bereketfrezghi/afrocasa-services /AfrocasaConfig/target/classes started by bereketfrezghi in /Users/bereketfrezghi/afrocasa-services )
2024-10-24 21:56:51 [main] INFO  c.a.config.AfrocasaConfigApplication - No active profile set, falling back to 1 default profile: "default"
2024-10-24 21:56:53 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=9f9d2092-fcf5-326d-bdaa-82be698c4207
2024-10-24 21:56:53 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8899 (http)
2024-10-24 21:56:53 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8899"]
2024-10-24 21:56:53 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-10-24 21:56:53 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2024-10-24 21:56:53 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-10-24 21:56:53 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2502 ms
2024-10-24 21:56:57 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-10-24 21:56:57 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3ca278bc, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@283e1759, org.springframework.security.web.context.SecurityContextPersistenceFilter@1be3f8f8, org.springframework.security.web.header.HeaderWriterFilter@3460e4ed, org.springframework.web.filter.CorsFilter@2acb1264, org.springframework.security.web.csrf.CsrfFilter@160c7c42, org.springframework.security.web.authentication.logout.LogoutFilter@8debe42, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@45bf93bb, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2a16d4dc, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@30a01dd8, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@734cf881, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2ceb68a1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6de33fde, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1f68e4e8, org.springframework.security.web.session.SessionManagementFilter@4a453f8d, org.springframework.security.web.access.ExceptionTranslationFilter@78e387d6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@70697478]
2024-10-24 21:56:57 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 21:56:57 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2024-10-24 21:56:57 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 21:56:57 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2024-10-24 21:56:57 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 21:56:57 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2024-10-24 21:56:57 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8899"]
2024-10-24 21:56:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8899 (http) with context path ''
2024-10-24 21:56:57 [main] INFO  c.a.config.AfrocasaConfigApplication - Started AfrocasaConfigApplication in 7.231 seconds (JVM running for 8.002)
2024-10-24 22:09:27 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2024-10-24 22:09:27 [main] INFO  c.a.config.AfrocasaConfigApplication - Starting AfrocasaConfigApplication using Java 17.0.6 on MacBook-Pro.attlocal.net with PID 4519 (/Users/bereketfrezghi/afrocasa-services /AfrocasaConfig/target/classes started by bereketfrezghi in /Users/bereketfrezghi/afrocasa-services )
